2022-12-17 13:26:46.687232	folder path: saved/riemannian-diffusion/sphere/UniformSlice-64-0.001-100000-0-0-2.0-256-2-0-12345-0.995-100
2022-12-17 13:26:46.687432	Namespace(dataset='UniformSlice', dataroot='data', saveroot='saved', expname='sphere', print_every=100, sample_every=1000, checkpoint_every=1000, evaluate_every=5000, evaluation_K=10, num_steps=100, inference_num_steps=100, evaluation_num_steps=100, seed=12345, T0=2.0, emb_size=256, hidden_layers=2, imp=0, div=None, batch_size=64, val_batch_size=256, test_batch_size=256, lr=0.001, num_iterations=100000, sch=0, warmup_iters=0, ema_decay=0.995, mode='train')
2022-12-17 13:26:47.621523	ConcatSinMLP(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=256, bias=True)
    (1): Sin()
    (2): Linear(in_features=256, out_features=256, bias=True)
    (3): Sin()
    (4): Linear(in_features=256, out_features=3, bias=True)
  )
)
2022-12-17 13:26:47.621709	cuda unavailable
2022-12-17 13:32:59.720131	Iteration 15900 	loss 2.2648017406463623
2022-12-17 13:33:02.005880	Iteration 16000 	loss 2.5310158729553223
2022-12-17 13:33:04.410094	Iteration 16100 	loss 2.2214341163635254
2022-12-17 13:33:06.636418	Iteration 16200 	loss 2.499908208847046
2022-12-17 13:33:08.865541	Iteration 16300 	loss 2.2567672729492188
2022-12-17 13:33:11.094593	Iteration 16400 	loss 2.2626736164093018
2022-12-17 13:33:13.319754	Iteration 16500 	loss 2.2600812911987305
2022-12-17 13:33:15.689973	Iteration 16600 	loss 2.082040309906006
2022-12-17 13:33:17.948584	Iteration 16700 	loss 2.4397192001342773
2022-12-17 13:33:20.184059	Iteration 16800 	loss 2.479341506958008
2022-12-17 13:33:22.394482	Iteration 16900 	loss 1.9256855249404907
2022-12-17 13:33:24.623320	Iteration 17000 	loss 1.872024416923523
2022-12-17 13:33:27.008729	Iteration 17100 	loss 1.9323391914367676
2022-12-17 13:33:29.244299	Iteration 17200 	loss 2.373610734939575
2022-12-17 13:33:31.496469	Iteration 17300 	loss 1.6358903646469116
2022-12-17 13:33:33.735606	Iteration 17400 	loss 2.1866116523742676
2022-12-17 13:33:35.949332	Iteration 17500 	loss 2.2448127269744873
2022-12-17 13:33:38.349062	Iteration 17600 	loss 2.516803741455078
2022-12-17 13:33:40.593825	Iteration 17700 	loss 2.450289726257324
2022-12-17 13:33:42.841881	Iteration 17800 	loss 2.054757595062256
2022-12-17 13:33:45.040111	Iteration 17900 	loss 2.0257153511047363
2022-12-17 13:33:47.292690	Iteration 18000 	loss 1.9940307140350342
2022-12-17 13:33:49.653662	Iteration 18100 	loss 1.777828574180603
2022-12-17 13:33:51.867101	Iteration 18200 	loss 1.7222577333450317
2022-12-17 13:33:54.089425	Iteration 18300 	loss 1.9886037111282349
2022-12-17 13:33:56.288966	Iteration 18400 	loss 2.055777072906494
2022-12-17 13:33:58.464981	Iteration 18500 	loss 1.8327372074127197
2022-12-17 13:34:00.798513	Iteration 18600 	loss 2.6927554607391357
2022-12-17 13:34:02.983775	Iteration 18700 	loss 2.1033666133880615
2022-12-17 13:34:05.169011	Iteration 18800 	loss 1.680843472480774
2022-12-17 13:34:07.357219	Iteration 18900 	loss 2.1185946464538574
2022-12-17 13:34:09.527927	Iteration 19000 	loss 2.5773205757141113
2022-12-17 13:34:11.846269	Iteration 19100 	loss 2.19385027885437
2022-12-17 13:34:14.035909	Iteration 19200 	loss 2.032496452331543
2022-12-17 13:34:16.238594	Iteration 19300 	loss 2.17051362991333
2022-12-17 13:34:18.420219	Iteration 19400 	loss 2.33001446723938
2022-12-17 13:34:20.608193	Iteration 19500 	loss 2.3171114921569824
2022-12-17 13:34:22.913149	Iteration 19600 	loss 2.5112380981445312
2022-12-17 13:34:25.125365	Iteration 19700 	loss 2.64131236076355
2022-12-17 13:34:27.311033	Iteration 19800 	loss 2.9953646659851074
2022-12-17 13:34:29.510605	Iteration 19900 	loss 2.42268705368042
2022-12-17 13:34:31.686198	Iteration 20000 	loss 2.3500194549560547
2022-12-17 13:34:34.009211	Iteration 20100 	loss 2.0830116271972656
2022-12-17 13:34:36.225931	Iteration 20200 	loss 2.0287744998931885
2022-12-17 13:34:38.414185	Iteration 20300 	loss 2.202280282974243
2022-12-17 13:34:40.605358	Iteration 20400 	loss 2.1202595233917236
2022-12-17 13:34:42.776761	Iteration 20500 	loss 2.3185861110687256
2022-12-17 13:34:45.454200	Iteration 20600 	loss 2.123138666152954
2022-12-17 13:34:47.635863	Iteration 20700 	loss 2.608522653579712
2022-12-17 13:34:49.830765	Iteration 20800 	loss 1.9578980207443237
2022-12-17 13:34:52.022511	Iteration 20900 	loss 2.235589027404785
2022-12-17 13:34:54.214120	Iteration 21000 	loss 2.0323822498321533
2022-12-17 13:34:56.526023	Iteration 21100 	loss 2.0567593574523926
2022-12-17 13:34:58.709103	Iteration 21200 	loss 2.105240821838379
2022-12-17 13:35:00.899341	Iteration 21300 	loss 2.2445051670074463
2022-12-17 13:35:03.096661	Iteration 21400 	loss 1.7794609069824219
2022-12-17 13:35:05.305258	Iteration 21500 	loss 2.338327407836914
2022-12-17 13:35:07.630521	Iteration 21600 	loss 2.3729846477508545
2022-12-17 13:35:09.817295	Iteration 21700 	loss 1.9323455095291138
2022-12-17 13:35:12.015642	Iteration 21800 	loss 2.2646007537841797
2022-12-17 13:35:14.211990	Iteration 21900 	loss 2.1115171909332275
2022-12-17 13:35:16.403044	Iteration 22000 	loss 2.458669662475586
2022-12-17 13:35:18.718766	Iteration 22100 	loss 2.2257301807403564
2022-12-17 13:35:20.917056	Iteration 22200 	loss 1.8895292282104492
2022-12-17 13:35:23.373654	Iteration 22300 	loss 2.080852746963501
2022-12-17 13:35:25.598487	Iteration 22400 	loss 2.0647411346435547
2022-12-17 13:35:27.809764	Iteration 22500 	loss 2.226349353790283
2022-12-17 13:35:30.364107	Iteration 22600 	loss 2.00209641456604
2022-12-17 13:35:32.675662	Iteration 22700 	loss 1.856097936630249
2022-12-17 13:35:34.891344	Iteration 22800 	loss 2.312373161315918
2022-12-17 13:35:37.152526	Iteration 22900 	loss 2.50883412361145
2022-12-17 13:35:39.343419	Iteration 23000 	loss 2.156111717224121
2022-12-17 13:35:41.673939	Iteration 23100 	loss 1.8586477041244507
2022-12-17 13:35:43.850940	Iteration 23200 	loss 2.764043092727661
2022-12-17 13:35:46.060248	Iteration 23300 	loss 2.323776960372925
2022-12-17 13:35:48.419947	Iteration 23400 	loss 2.3735177516937256
2022-12-17 13:35:50.659214	Iteration 23500 	loss 2.7013206481933594
2022-12-17 13:35:53.011650	Iteration 23600 	loss 2.347960948944092
2022-12-17 13:35:55.306637	Iteration 23700 	loss 2.290985345840454
2022-12-17 13:35:57.543002	Iteration 23800 	loss 2.608126401901245
2022-12-17 13:35:59.736502	Iteration 23900 	loss 2.4194483757019043
2022-12-17 13:36:01.978566	Iteration 24000 	loss 2.6980044841766357
2022-12-17 13:36:04.349540	Iteration 24100 	loss 1.84748113155365
2022-12-17 13:36:06.548739	Iteration 24200 	loss 2.6325061321258545
2022-12-17 13:36:08.740388	Iteration 24300 	loss 2.2016959190368652
2022-12-17 13:36:10.984642	Iteration 24400 	loss 2.0864338874816895
2022-12-17 13:36:13.185805	Iteration 24500 	loss 1.4845479726791382
2022-12-17 13:36:15.763154	Iteration 24600 	loss 2.740842819213867
2022-12-17 13:36:18.065857	Iteration 24700 	loss 2.0075907707214355
2022-12-17 13:36:20.302210	Iteration 24800 	loss 2.213808536529541
2022-12-17 13:36:22.490593	Iteration 24900 	loss 1.7824680805206299
2022-12-17 13:36:24.707993	Iteration 25000 	loss 2.99454402923584
2022-12-17 13:36:27.120319	Iteration 25100 	loss 2.284445285797119
2022-12-17 13:36:29.516957	Iteration 25200 	loss 2.436189889907837
2022-12-17 13:36:31.758994	Iteration 25300 	loss 2.1245834827423096
2022-12-17 13:36:34.004172	Iteration 25400 	loss 2.490898847579956
2022-12-17 13:36:36.194059	Iteration 25500 	loss 2.4876630306243896
2022-12-17 13:36:38.539270	Iteration 25600 	loss 1.8764808177947998
2022-12-17 13:36:40.759581	Iteration 25700 	loss 2.4228930473327637
2022-12-17 13:36:42.993517	Iteration 25800 	loss 1.9460999965667725
2022-12-17 13:36:45.185359	Iteration 25900 	loss 2.4375767707824707
2022-12-17 13:36:47.418219	Iteration 26000 	loss 2.1929564476013184
2022-12-17 13:36:49.746790	Iteration 26100 	loss 2.0060646533966064
2022-12-17 13:36:51.942974	Iteration 26200 	loss 1.8733222484588623
2022-12-17 13:36:54.152618	Iteration 26300 	loss 2.48447322845459
2022-12-17 13:36:56.366840	Iteration 26400 	loss 2.339215040206909
2022-12-17 13:36:58.563846	Iteration 26500 	loss 2.2762293815612793
2022-12-17 13:37:00.889387	Iteration 26600 	loss 2.7126286029815674
2022-12-17 13:37:03.096363	Iteration 26700 	loss 2.520620107650757
2022-12-17 13:37:05.293768	Iteration 26800 	loss 2.1063461303710938
2022-12-17 13:37:07.484304	Iteration 26900 	loss 2.459120750427246
2022-12-17 13:37:09.655165	Iteration 27000 	loss 1.8394834995269775
2022-12-17 13:37:11.990634	Iteration 27100 	loss 2.09261417388916
2022-12-17 13:37:14.191135	Iteration 27200 	loss 2.213951587677002
2022-12-17 13:37:16.433063	Iteration 27300 	loss 2.2007336616516113
2022-12-17 13:37:18.661679	Iteration 27400 	loss 2.297238826751709
2022-12-17 13:37:20.928469	Iteration 27500 	loss 2.185525894165039
2022-12-17 13:37:23.389439	Iteration 27600 	loss 1.9287935495376587
2022-12-17 13:37:25.704969	Iteration 27700 	loss 2.1492056846618652
2022-12-17 13:37:27.962454	Iteration 27800 	loss 2.3457674980163574
2022-12-17 13:37:30.166229	Iteration 27900 	loss 1.866795539855957
2022-12-17 13:37:32.347738	Iteration 28000 	loss 2.386443853378296
2022-12-17 13:37:35.110257	Iteration 28100 	loss 2.2484817504882812
2022-12-17 13:37:37.295359	Iteration 28200 	loss 2.0291848182678223
2022-12-17 13:37:39.484028	Iteration 28300 	loss 2.2912662029266357
2022-12-17 13:37:41.670029	Iteration 28400 	loss 2.596729040145874
2022-12-17 13:37:43.860649	Iteration 28500 	loss 2.020382881164551
2022-12-17 13:37:46.171355	Iteration 28600 	loss 2.076993942260742
2022-12-17 13:37:48.364685	Iteration 28700 	loss 2.442763090133667
2022-12-17 13:37:50.596952	Iteration 28800 	loss 2.130758762359619
2022-12-17 13:37:52.801310	Iteration 28900 	loss 2.3817007541656494
2022-12-17 13:37:54.971306	Iteration 29000 	loss 2.2753968238830566
2022-12-17 13:37:57.285975	Iteration 29100 	loss 1.9400911331176758
2022-12-17 13:37:59.469799	Iteration 29200 	loss 2.1190948486328125
2022-12-17 13:38:01.646056	Iteration 29300 	loss 1.986968755722046
2022-12-17 13:38:03.826498	Iteration 29400 	loss 2.7543606758117676
2022-12-17 13:38:06.003267	Iteration 29500 	loss 2.32375168800354
2022-12-17 13:38:08.296625	Iteration 29600 	loss 2.606625556945801
2022-12-17 13:38:10.488820	Iteration 29700 	loss 2.0412216186523438
2022-12-17 13:38:12.663733	Iteration 29800 	loss 2.198960781097412
2022-12-17 13:38:14.842095	Iteration 29900 	loss 2.160043478012085
2022-12-17 13:38:17.019392	Iteration 30000 	loss 2.6942403316497803
2022-12-17 13:38:19.318428	Iteration 30100 	loss 2.0335607528686523
2022-12-17 13:38:21.500512	Iteration 30200 	loss 2.389549732208252
2022-12-17 13:38:23.673086	Iteration 30300 	loss 1.9895884990692139
2022-12-17 13:38:25.859111	Iteration 30400 	loss 2.0805838108062744
2022-12-17 13:38:28.030699	Iteration 30500 	loss 2.3464365005493164
2022-12-17 13:38:30.327951	Iteration 30600 	loss 1.7361717224121094
2022-12-17 13:38:32.497387	Iteration 30700 	loss 1.6803712844848633
2022-12-17 13:38:34.711424	Iteration 30800 	loss 2.390713691711426
2022-12-17 13:38:36.887146	Iteration 30900 	loss 2.276458263397217
2022-12-17 13:38:39.048674	Iteration 31000 	loss 2.4514524936676025
2022-12-17 13:38:41.351001	Iteration 31100 	loss 1.744624376296997
2022-12-17 13:38:43.528196	Iteration 31200 	loss 2.2390379905700684
2022-12-17 13:38:45.696377	Iteration 31300 	loss 2.2659151554107666
2022-12-17 13:38:47.858823	Iteration 31400 	loss 2.3181889057159424
2022-12-17 13:38:50.021117	Iteration 31500 	loss 2.1838159561157227
2022-12-17 13:38:52.482859	Iteration 31600 	loss 2.1584208011627197
2022-12-17 13:38:54.813823	Iteration 31700 	loss 2.431123971939087
2022-12-17 13:38:57.137577	Iteration 31800 	loss 2.281158208847046
2022-12-17 13:38:59.486450	Iteration 31900 	loss 2.4232723712921143
2022-12-17 13:39:01.737768	Iteration 32000 	loss 2.5298044681549072
2022-12-17 13:39:04.082668	Iteration 32100 	loss 2.109344482421875
2022-12-17 13:39:06.296870	Iteration 32200 	loss 2.3144917488098145
2022-12-17 13:39:08.541891	Iteration 32300 	loss 2.828489065170288
2022-12-17 13:39:10.747701	Iteration 32400 	loss 2.2123608589172363
2022-12-17 13:39:12.957637	Iteration 32500 	loss 2.35483455657959
2022-12-17 13:39:15.268159	Iteration 32600 	loss 1.972070336341858
2022-12-17 13:39:17.464640	Iteration 32700 	loss 2.1149685382843018
2022-12-17 13:39:19.656145	Iteration 32800 	loss 2.7705423831939697
2022-12-17 13:39:21.852624	Iteration 32900 	loss 1.8297866582870483
2022-12-17 13:39:24.066897	Iteration 33000 	loss 1.8051172494888306
